scan_id,quality,angle_deg,distance_mm,x_mm,y_mm
4,15,19.8,5227.5,4918.1,1771.8
4,15,21.3,5176.8,4823.2,1880.2
4,15,22.8,5128.5,4729.0,1984.5
4,15,24.2,5088.8,4639.7,2090.0
4,15,25.7,5049.2,4548.4,2192.4
4,15,65.7,5843.2,2402.8,5326.3
4,15,68.7,4975.8,1804.7,4636.9
4,15,70.2,5087.8,1724.5,4786.6
4,15,71.7,5209.0,1638.0,4944.8
4,15,73.2,5313.5,1539.7,5085.5
4,15,74.6,5414.8,1435.6,5221.0
4,15,78.1,1877.8,387.9,1837.2
4,15,79.5,1882.5,341.5,1851.3
4,15,81.0,1906.8,297.3,1883.4
4,15,86.4,7127.8,448.7,7113.6
4,15,91.0,3818.5,-66.6,3817.9
4,15,105.6,9330.2,-2503.2,8988.2
4,15,108.4,8864.5,-2801.3,8410.2
4,15,109.9,8782.8,-2988.1,8258.8
4,15,113.2,2992.8,-1177.6,2751.3
4,15,114.6,2981.2,-1243.0,2709.8
4,15,116.1,2961.0,-1303.1,2658.8
4,15,117.6,2937.5,-1359.9,2603.7
4,15,124.7,7178.5,-4082.1,5904.9
4,15,134.4,1327.0,-928.3,948.3
4,15,136.0,1297.5,-932.6,902.1
4,15,158.4,125.5,-116.7,46.2
4,15,166.5,123.5,-120.1,28.8
4,15,175.3,2205.5,-2198.1,180.2
4,15,243.9,348.2,-153.0,-312.8
4,15,245.8,338.2,-138.8,-308.5
4,15,247.0,329.2,-128.6,-303.1
4,15,248.7,321.0,-116.4,-299.1
4,15,250.3,313.2,-105.8,-294.9
4,15,251.8,307.0,-95.8,-291.7
4,15,253.4,300.5,-86.1,-287.9
4,15,254.9,293.5,-76.5,-283.4
4,15,257.0,288.0,-64.7,-280.6
4,15,258.8,283.2,-55.0,-277.9
4,15,260.0,278.8,-48.5,-274.5
4,15,261.5,274.2,-40.8,-271.2
4,15,263.9,270.2,-28.6,-268.7
4,15,264.6,267.0,-25.1,-265.8
4,15,266.1,263.8,-17.9,-263.1
4,15,267.9,260.5,-9.6,-260.3
4,15,269.2,257.8,-3.4,-257.7
4,15,270.5,255.5,2.2,-255.5
4,15,272.7,253.2,11.8,-253.0
4,15,273.3,251.2,14.6,-250.8
4,15,275.1,249.5,22.4,-248.5
4,15,276.5,247.8,28.2,-246.1
4,15,278.1,246.8,34.9,-244.3
4,15,280.0,245.5,42.8,-241.7
4,15,280.9,244.5,46.1,-240.1
4,15,282.4,243.5,52.4,-237.8
4,15,284.7,243.0,61.5,-235.1
4,15,285.5,243.8,65.2,-234.9
4,15,290.5,2141.8,749.0,-2006.5
4,15,291.9,2099.2,783.7,-1947.5
4,15,293.5,2083.0,829.0,-1910.9
4,14,294.9,2066.5,870.8,-1874.1
4,15,305.3,390.5,225.7,-318.7
4,15,314.5,1400.2,981.2,-999.0
4,15,316.0,1441.2,1036.2,-1001.7
4,15,321.6,2028.5,1588.9,-1261.0
4,12,323.1,2040.2,1632.1,-1224.3
4,15,324.5,2051.5,1671.1,-1189.9
4,15,326.1,2065.5,1713.6,-1153.1
4,15,327.5,2081.8,1756.0,-1118.0
4,15,329.0,2099.0,1799.5,-1080.6
4,15,330.5,2131.2,1854.4,-1050.5
4,15,336.9,534.2,491.6,-209.3
4,15,340.2,489.5,460.6,-165.8
4,15,341.5,498.2,472.5,-158.1
4,15,343.1,511.8,489.7,-148.6
4,15,344.4,526.8,507.4,-141.6
5,15,351.0,2711.2,2677.8,-424.9
5,15,352.4,2758.5,2734.5,-363.0
5,15,353.9,2826.2,2810.4,-299.3
5,15,355.4,2906.0,2896.5,-235.1
5,15,356.8,2990.0,2985.5,-164.6
5,15,358.3,3075.2,3073.9,-91.4
5,15,359.8,3166.0,3166.0,-12.1
5,15,4.2,3488.8,3479.5,253.8
5,15,17.2,5188.8,4955.4,1538.7
5,15,18.8,5264.0,4984.6,1692.1
5,15,20.2,5219.5,4897.9,1803.9
5,15,21.7,5148.5,4783.5,1903.9
5,15,23.2,5104.0,4692.3,2008.4
5,15,24.6,5066.5,4605.1,2112.4
5,15,26.1,5038.0,4523.9,2217.2
5,15,66.1,5849.2,2371.8,5346.8
5,15,69.1,5010.5,1789.2,4680.1
5,15,70.6,5130.0,1705.8,4838.1
5,15,72.0,5226.2,1610.9,4971.8
5,15,73.5,5339.5,1516.5,5119.6
5,15,77.0,1852.0,417.1,1804.4
5,15,78.4,1862.2,373.3,1824.5
5,15,80.0,1883.2,328.5,1854.4
5,15,81.4,1919.0,287.8,1897.3
5,11,85.3,7031.8,580.4,7007.8
5,15,86.8,7140.0,404.8,7128.5
5,15,89.9,3876.0,9.5,3876.0
5,15,91.3,3791.5,-88.9,3790.5
5,15,105.9,9352.5,-2563.2,8994.4
5,15,108.8,8910.2,-2877.9,8432.7
5,15,110.3,8754.5,-3041.3,8209.3
5,15,113.6,2987.0,-1194.8,2737.6
5,15,115.1,2973.2,-1260.2,2693.0
5,15,116.5,2949.0,-1318.0,2638.1
5,15,122.1,8725.2,-4639.8,7389.3
5,15,125.1,7114.0,-4093.1,5818.5
5,15,129.5,7209.5,-4590.4,5559.3
5,14,134.9,1317.5,-930.3,932.9
